City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Digby,CA,2021-07-22 21:01:56,44.6169,-65.7655,61.03,81,83,8.77
166,Tasiilaq,GL,2021-07-22 21:05:41,65.6145,-37.6368,44.76,97,100,6.87
167,Douglas,US,2021-07-22 21:05:41,41.3,-96.167,89.15,54,1,5.01
168,Havoysund,NO,2021-07-22 21:04:54,70.9963,24.6622,41.88,78,100,20.07
169,Kavieng,PG,2021-07-22 21:05:42,-2.5744,150.7967,82.17,79,55,13.18
170,Cabo Rojo,PR,2021-07-22 21:05:42,18.0866,-67.1457,89.26,73,7,5.01
171,Half Moon Bay,US,2021-07-22 21:05:42,37.4636,-122.4286,92.57,69,20,11.5
172,Nanchong,CN,2021-07-22 21:05:43,30.7951,106.0847,76.95,90,36,1.95
173,Montevideo,UY,2021-07-22 21:05:43,-34.8335,-56.1674,62.31,59,0,4.61
174,Sovetskiy,RU,2021-07-22 21:05:43,61.3614,63.5842,56.93,98,100,12.35
175,Port Hardy,CA,2021-07-22 21:05:44,50.6996,-127.4199,59.32,74,100,2.91
176,Chuy,UY,2021-07-22 21:05:44,-33.6971,-53.4616,51.55,75,99,4.97
177,Odienne,CI,2021-07-22 21:05:44,9.51,-7.5692,70.59,97,100,3.2
178,Saskylakh,RU,2021-07-22 21:03:09,71.9167,114.0833,56.37,83,91,6.22
179,Mahendranagar,NP,2021-07-22 21:05:45,28.9167,80.3333,78.4,89,99,4.61
180,Stillwater,US,2021-07-22 21:04:44,36.1156,-97.0584,91.85,49,20,1.99
181,Kenora,CA,2021-07-22 21:05:45,49.8167,-94.4337,83.7,48,73,10.22
182,Faanui,PF,2021-07-22 21:05:46,-16.4833,-151.75,78.94,67,57,14.7
183,Lebu,CL,2021-07-22 21:05:46,-37.6167,-73.65,52.92,82,100,6.46
184,Wad Rawah,SD,2021-07-22 21:05:46,15.1603,33.1397,86.11,55,89,16.82
185,Sompeta,IN,2021-07-22 21:05:47,18.9333,84.6,82.62,82,100,3.27
186,Blagoveshchenka,RU,2021-07-22 21:05:47,52.8333,79.8667,63.25,73,52,8.08
187,Tigil,RU,2021-07-22 21:05:48,57.8,158.6667,60.89,70,100,11.34
188,Zyryanka,RU,2021-07-22 21:05:48,65.75,150.85,58.41,78,100,14.52
189,Dibulla,CO,2021-07-22 21:05:48,11.2725,-73.3091,90.05,57,78,11.14
190,San Cristobal,VE,2021-07-22 21:05:49,7.7669,-72.225,71.78,96,99,4.88
191,Perth,AU,2021-07-22 21:02:04,-31.9333,115.8333,63.05,74,75,1.14
192,Nome,US,2021-07-22 21:05:49,64.5011,-165.4064,49.15,71,90,18.41
193,Sydney,AU,2021-07-22 21:01:13,-33.8679,151.2073,52.9,78,100,5.01
194,Lavrentiya,RU,2021-07-22 21:05:50,65.5833,-171.0,40.15,83,100,4.5
195,Ishigaki,JP,2021-07-22 21:05:50,24.3448,124.1572,82.83,88,100,55.77
196,Poum,NC,2021-07-22 21:05:50,-20.2333,164.0167,70.48,73,2,9.51
197,Taywarah,AF,2021-07-22 21:05:51,33.35,64.4167,55.78,37,0,3.38
198,Torbay,CA,2021-07-22 21:03:22,47.6666,-52.7314,54.55,97,99,1.99
199,Pulandian,CN,2021-07-22 21:05:51,39.3953,121.9669,78.93,80,98,2.3
200,Ifakara,TZ,2021-07-22 21:05:52,-8.1333,36.6833,68.86,82,38,3.94
