City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
431,Porto Santo,PT,80.31,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
435,Fergus Falls,US,86.67,clear sky,46.283,-96.0776,AmericInn by Wyndham Fergus Falls Conference Center
443,Dingtao,CN,76.32,light rain,35.0683,115.5625,VX Heze Dingtao District Taoyi Road Hotel
448,Boa Vista,BR,84.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
449,Kieta,PG,78.46,few clouds,-6.2167,155.6333,Uruna Bay Retreat
454,Gat,IL,83.8,clear sky,31.61,34.7642,OlusHome
458,Sibolga,ID,77.47,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
459,Don Benito,ES,89.92,clear sky,38.9563,-5.8616,Hotel Vegas Altas | Don Benito
462,Bayir,TR,82.92,clear sky,37.2687,28.2167,Hotel Babadag
463,Cockburn Town,TC,82.78,few clouds,21.4612,-71.1419,Osprey Beach Hotel
464,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
465,Nabire,ID,75.34,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
467,Auki,SB,75.11,overcast clouds,-8.7676,160.7034,Auki Motel
469,Balabac,PH,83.86,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
470,Le Vauclin,MQ,87.85,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
472,Catuday,PH,80.73,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
473,Santa Rosa,PH,83.91,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
474,Ranot,TH,81.46,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
475,Sopron,HU,84.02,scattered clouds,47.685,16.5905,Hotel Pannonia
479,Tautira,PF,77.02,scattered clouds,-17.7333,-149.15,Pension Oaoa
480,Kloulklubed,PW,84.06,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
